Median3,RMS3,PeakStd3,Std3,Mode3,PeakMean3,PToP3,Mean3,Median6,RMS6,Std6,PeakStd6,Mode6,Mean6,PeakMean6,PToP6,Judgment
79.94726088,30.50181086,607.7767703,932.0410335,-1670.931404,1080.713125,3341.862808,4.11169673,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94148241,30.49960624,607.7328411,931.973667,-1670.810632,1080.635013,3341.621264,4.111399549,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94319454,30.50025945,607.7458572,931.9936275,-1670.846416,1080.658157,3341.692832,4.111487604,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94426463,30.50066771,607.7539922,932.0061027,-1670.868781,1080.672622,3341.737562,4.111542638,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94169642,30.49968789,607.7344681,931.9761621,-1670.815105,1080.637906,3341.63021,4.111410554,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93463385,30.49699334,607.680777,931.8938252,-1670.667494,1080.542435,3341.334988,4.11104733,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94726088,30.50181086,607.7767703,932.0410335,-1670.931404,1080.713125,3341.862808,4.11169673,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94319454,30.50025945,607.7458572,931.9936275,-1670.846416,1080.658157,3341.692832,4.111487604,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94169642,30.49968789,607.7344681,931.9761621,-1670.815105,1080.637906,3341.63021,4.111410554,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94982908,30.5027907,607.7962945,932.0709742,-1670.985081,1080.747842,3341.970162,4.111828815,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94576275,30.50123929,607.7653813,932.0235681,-1670.900093,1080.692874,3341.800186,4.111619688,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94576275,30.50123929,607.7653813,932.0235681,-1670.900093,1080.692874,3341.800186,4.111619688,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93463385,30.49699334,607.680777,931.8938252,-1670.667494,1080.542435,3341.334988,4.11104733,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93484787,30.49707499,607.6824039,931.8963202,-1670.671967,1080.545328,3341.343934,4.111058333,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93484787,30.49707499,607.6824039,931.8963202,-1670.671967,1080.545328,3341.343934,4.111058333,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93741608,30.49805484,607.701928,931.9262609,-1670.725644,1080.580045,3341.451288,4.111190416,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9389142,30.4986264,607.713317,931.9437263,-1670.756955,1080.600296,3341.51391,4.111267471,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92650119,30.49389054,607.6189506,931.799013,-1670.497518,1080.432499,3340.995036,4.110629066,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93056752,30.49544194,607.6498638,931.8464191,-1670.582506,1080.487467,3341.165012,4.110838193,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92778529,30.49438045,607.6287126,931.8139833,-1670.524356,1080.449858,3341.048712,4.110695105,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Pass
79.92778529,30.49438045,607.6287126,931.8139833,-1670.524356,1080.449858,3341.048712,4.110695105,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92243486,30.49233913,607.5880375,931.7516069,-1670.41253,1080.377531,3340.82506,4.110419938,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92778529,30.49438045,607.6287126,931.8139833,-1670.524356,1080.449858,3341.048712,4.110695105,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92928342,30.49495203,607.6401017,931.8314487,-1670.555668,1080.470109,3341.111336,4.110772154,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93763009,30.49813649,607.703555,931.928756,-1670.730117,1080.582938,3341.460234,4.111201431,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94298053,30.5001778,607.7442302,931.9911324,-1670.841943,1080.655264,3341.683886,4.111476596,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93741608,30.49805484,607.701928,931.9262609,-1670.725644,1080.580045,3341.451288,4.111190416,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94169642,30.49968789,607.7344681,931.9761621,-1670.815105,1080.637906,3341.63021,4.111410554,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94982908,30.5027907,607.7962945,932.0709742,-1670.985081,1080.747842,3341.970162,4.111828815,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.95817576,30.50597515,607.8597477,932.1682815,-1671.15953,1080.860671,3342.31906,4.112258092,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94854498,30.50230077,607.7865324,932.0560039,-1670.958242,1080.730483,3341.916484,4.11176278,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.95817576,30.50597515,607.8597477,932.1682815,-1671.15953,1080.860671,3342.31906,4.112258092,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.96652244,30.50915961,607.923201,932.2655887,-1671.333979,1080.9735,3342.667958,4.112687358,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.96780654,30.50964952,607.932963,932.280559,-1671.360817,1080.990858,3342.721634,4.112753395,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9844999,30.51601844,608.0598696,932.4751735,-1671.709715,1081.216516,3343.41943,4.113611945,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.98985033,30.51805977,608.1005448,932.5375499,-1671.821542,1081.288842,3343.643084,4.113887117,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99391666,30.51961117,608.131458,932.584956,-1671.90653,1081.34381,3343.81306,4.11409625,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.00782779,30.5249186,608.2372135,932.7471347,-1672.197278,1081.531858,3344.394556,4.114811697,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99520077,30.52010108,608.14122,932.5999263,-1671.933368,1081.361168,3343.866736,4.114162295,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.02559123,30.53169579,608.3722551,932.9542244,-1672.568542,1081.771981,3345.137084,4.115725279,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.0091119,30.52540853,608.2469755,932.762105,-1672.224117,1081.549216,3344.448234,4.114877739,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.0215249,30.53014439,608.341342,932.9068183,-1672.483554,1081.717013,3344.967108,4.115516151,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01874268,30.52908289,608.3201908,932.8743826,-1672.425404,1081.679404,3344.850808,4.115373054,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01189412,30.52647,608.2681266,932.7945408,-1672.282266,1081.586826,3344.564532,4.115020827,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.00782779,30.5249186,608.2372135,932.7471347,-1672.197278,1081.531858,3344.394556,4.114811697,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01189412,30.52647,608.2681266,932.7945408,-1672.282266,1081.586826,3344.564532,4.115020827,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01317823,30.52695993,608.2778887,932.8095111,-1672.309105,1081.604184,3344.61821,4.115086877,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.02002678,30.5295728,608.3299529,932.8893529,-1672.452242,1081.696762,3344.904484,4.115439093,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.0091119,30.52540853,608.2469755,932.762105,-1672.224117,1081.549216,3344.448234,4.114877739,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.00226334,30.52279563,608.1949113,932.6822632,-1672.080979,1081.456639,3344.161958,4.114525521,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.98856623,30.51756984,608.0907828,932.5225796,-1671.794703,1081.271484,3343.589406,4.113821079,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99134845,30.51863133,608.1119339,932.5550153,-1671.852853,1081.309093,3343.705706,4.113964168,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99391666,30.51961117,608.131458,932.584956,-1671.90653,1081.34381,3343.81306,4.11409625,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99134845,30.51863133,608.1119339,932.5550153,-1671.852853,1081.309093,3343.705706,4.113964168,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99391666,30.51961117,608.131458,932.584956,-1671.90653,1081.34381,3343.81306,4.11409625,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.99819701,30.52124423,608.1639982,932.6348571,-1671.995991,1081.401671,3343.991982,4.114316391,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.01061002,30.52598009,608.2583645,932.7795704,-1672.255428,1081.569468,3344.510856,4.114954787,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.0091119,30.52540853,608.2469755,932.762105,-1672.224117,1081.549216,3344.448234,4.114877739,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.01467635,30.52753149,608.2892777,932.8269765,-1672.340416,1081.624436,3344.680832,4.115163914,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.02280901,30.5306343,608.351104,932.9217887,-1672.510392,1081.734372,3345.020784,4.115582186,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.01189412,30.52647,608.2681266,932.7945408,-1672.282266,1081.586826,3344.564532,4.115020827,42296.16004,47290.49717,2660915.523,1835657.865,2590638.871,-11963.05328,2926189.206,5181277.742,Pass
80.00654369,30.52442869,608.2274514,932.7321643,-1672.17044,1081.5145,3344.34088,4.114745657,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01189412,30.52647,608.2681266,932.7945408,-1672.282266,1081.586826,3344.564532,4.115020827,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01189412,30.52647,608.2681266,932.7945408,-1672.282266,1081.586826,3344.564532,4.115020827,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.01874268,30.52908289,608.3201908,932.8743826,-1672.425404,1081.679404,3344.850808,4.115373054,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.04763502,30.54010602,608.5398369,933.2112153,-1673.029266,1082.069965,3346.058532,4.116858993,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.0448528,30.53904453,608.5186858,933.1787796,-1672.971116,1082.032356,3345.942232,4.116715897,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.05876393,30.54435197,608.6244413,933.3409583,-1673.261865,1082.220404,3346.52373,4.117431353,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.05747982,30.54386206,608.6146792,933.3259879,-1673.235027,1082.203046,3346.470054,4.117365311,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.03672014,30.53594172,608.4568595,933.0839674,-1672.80114,1081.92242,3345.60228,4.116297644,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.06711061,30.54753643,608.6878945,933.4382655,-1673.436314,1082.333233,3346.872628,4.117860624,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.07802549,30.55170072,608.7708719,933.5655134,-1673.66444,1082.480778,3347.32888,4.11842198,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.08487405,30.5543136,608.8229361,933.6453552,-1673.807577,1082.573356,3347.615154,4.118774194,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
80.09450483,30.55798799,608.8961515,933.7576328,-1674.008865,1082.703543,3348.01773,4.119269511,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Failure
80.10006928,30.56011095,608.9384537,933.8225043,-1674.125164,1082.778762,3348.250328,4.119555687,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.09471885,30.55806964,608.8977785,933.7601278,-1674.013338,1082.706436,3348.026676,4.119280518,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.11226827,30.56476516,609.0311931,933.9647225,-1674.380128,1082.943666,3348.760256,4.12018308,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.11804674,30.5669698,609.0751223,934.0320891,-1674.500901,1083.021779,3349.001802,4.120480273,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.12361119,30.56909276,609.1174245,934.0969606,-1674.6172,1083.096998,3349.2344,4.120766455,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.1248953,30.56958267,609.1271865,934.1119309,-1674.644038,1083.114356,3349.288076,4.12083249,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.11526452,30.56590831,609.0539712,933.9996533,-1674.442751,1082.984169,3348.885502,4.120337181,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.13324197,30.57276713,609.1906398,934.2092381,-1674.818487,1083.227185,3349.636974,4.121261763,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.1248953,30.56958267,609.1271865,934.1119309,-1674.644038,1083.114356,3349.288076,4.12083249,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.08080772,30.5527622,608.792023,933.5979491,-1673.722589,1082.518388,3347.445178,4.118565065,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.09857116,30.55953939,608.9270646,933.8050389,-1674.093853,1082.758511,3348.187706,4.119478643,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
80.12767752,30.57064417,609.1483376,934.1443666,-1674.702188,1083.151966,3349.404376,4.120975582,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.16898288,30.58640315,609.4623501,934.6259126,-1675.565487,1083.710324,3351.130974,4.123099922,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
80.16898288,30.58640315,609.4623501,934.6259126,-1675.565487,1083.710324,3351.130974,4.123099922,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
80.18803042,30.59367025,609.6071537,934.8479727,-1675.963589,1083.967806,3351.927178,4.124079541,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.18674632,30.59318034,609.5973917,934.8330024,-1675.936751,1083.950448,3351.873502,4.124013494,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
80.19787522,30.59742629,609.6819961,934.9627453,-1676.16935,1084.100886,3352.3387,4.124585852,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Failure
80.20322566,30.59946761,609.7226713,935.0251218,-1676.281176,1084.173212,3352.562352,4.124861034,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
80.2062219,30.60061075,609.7454494,935.0600526,-1676.343799,1084.213715,3352.687598,4.125015127,42297.35591,47291.83425,2660990.758,1835709.766,2590712.118,-11963.39152,2926271.941,5181424.236,Failure
